user_ID,frequence,amount,recently,type
1000,2,1985,140,0
1002,1,775,86,0
1004,1,362,86,0
1005,2,1713,120,0
1008,1,1336,21,0
1009,2,1346,16,0
1010,3,3514,55,1
1011,3,4112,42,1
1012,1,873,36,0
1014,2,1040,131,0
1017,3,2950,65,1
1018,3,3377,98,1
1021,3,3147,7,1
1023,2,2392,49,1
1025,3,2813,69,1
1026,1,913,22,0
1027,2,1181,41,0
1028,3,4091,52,1
1029,2,1655,39,0
1031,1,1213,47,0
1032,5,3450,56,1
1033,3,3089,48,1
1066,1,1441,88,0
1067,3,2227,28,0
1069,4,4013,53,1
1070,2,1743,90,0
1071,2,2174,178,0
1075,4,3509,41,1
1076,2,1098,174,0
1077,2,2384,74,0
1078,33,32412,6,1
1079,3,3863,25,1
1081,23,22562,5,1
1083,4,2435,12,0
1084,1,1325,64,0
1085,2,1984,95,0
1086,3,2302,76,0
1087,2,1654,96,0
1088,2,1946,185,0
1090,3,3018,19,1
1091,3,3302,16,1
1092,2,1569,65,0
1094,3,3497,26,1
1095,3,2675,63,1
1098,1,508,102,0
1099,4,2322,6,1
1100,3,2308,14,1
1101,3,3246,97,1
1103,1,274,85,0
1104,4,2659,3,1
1105,2,1199,126,0
1106,5,5009,80,1
1107,1,711,52,0
1108,3,3306,28,1
1112,3,3479,48,1
1113,2,2122,59,0
1114,1,1206,45,0
1115,3,2284,12,1
1116,1,864,57,0
1117,3,3136,36,1
1119,4,4878,91,1
1120,3,1151,16,1
1121,2,2399,160,0
1122,3,4257,150,1
1123,4,1453,13,0
1124,23,21466,22,1
1125,1,424,89,0
1126,2,987,48,0
1127,1,1001,38,0
1129,1,1316,111,0
1130,2,1938,69,0
1131,25,18910,6,1
1132,2,587,8,0
1133,2,1423,48,0
1135,2,1182,21,0
1136,3,2998,4,1
1137,4,4199,20,1
1138,3,3034,28,1
1140,2,2970,119,0
1141,7,4537,55,1
1142,4,4320,15,1
1144,5,3921,44,1
1145,4,4358,31,1
1147,7,8270,17,1
1149,4,2611,59,1
1150,2,1590,27,0
1151,1,591,63,0
1152,3,3020,131,0
1153,2,2500,12,0
1155,2,2412,42,0
1157,4,4256,105,1
1158,2,2350,70,0
1161,2,1479,7,0
1162,1,1068,156,0
1164,2,1756,8,1
1165,3,2428,7,1
1167,3,2636,13,1
1168,5,3283,19,1
1169,5,5382,61,1
1170,4,4933,105,1
1173,3,2721,110,0
1174,4,3647,88,1
1175,1,586,49,0
1177,3,3610,139,1
1179,2,2560,41,1
1180,1,1415,104,0
1181,2,2617,65,0
1183,2,2109,139,0
1184,2,1381,10,0
1186,3,2906,95,1
1187,4,4423,47,1
1189,4,3243,8,1
1190,3,3356,138,0
1191,4,3624,23,1
1192,2,1498,110,0
1195,3,3430,10,1
1196,4,5265,41,1
1198,2,2895,3,1
1200,4,4077,116,1
1201,4,3980,12,1
1202,1,1117,50,0
1203,3,1535,66,0
1204,2,2213,65,0
1205,2,1317,19,0
1207,3,3986,32,1
1208,4,3765,45,1
1209,5,4107,13,1
1210,29,25245,5,1
1211,1,404,37,0
1213,2,1518,34,0
1214,3,3182,86,1
1215,1,435,65,0
1216,2,1862,4,0
1217,2,2597,88,0
1218,1,1583,86,0
1219,2,1558,65,0
1220,2,1614,36,0
1221,2,805,33,0
1222,1,595,0,0
1223,3,3964,129,1
1224,2,2126,179,0
1226,2,1882,59,0
1227,1,399,70,0
1230,2,1196,38,0
1231,2,1174,95,0
1232,1,1033,29,0
1233,2,2696,6,1
1234,3,2822,64,1
1235,3,2877,3,1
1237,3,2301,26,1
1238,3,2102,90,0
1240,1,863,73,0
1243,3,1552,63,0
1244,4,3806,10,1
1245,3,3863,0,1
1246,5,3615,25,1
1247,2,1757,4,0
1248,4,4531,81,1
1249,4,4482,45,1
1251,2,1929,115,0
1255,1,612,79,0
1256,3,2547,5,1
1257,3,2737,98,0
1259,4,3001,3,1
1260,5,5384,23,1
1261,2,2479,18,0
1262,3,3284,76,1
1263,3,3377,4,1
1264,1,565,208,0
1265,2,2603,107,0
1267,4,3988,23,1
1268,3,3548,10,1
1269,2,2535,16,1
1270,2,1997,94,0
1271,1,1204,17,0
1272,3,3071,13,1
1274,2,1779,137,0
1275,1,1433,50,0
1276,5,5502,37,1
1277,2,2299,104,0
1278,1,1001,54,0
1279,2,1269,190,0
1280,2,1039,129,0
1281,5,4447,45,1
1282,6,7222,33,1
1284,6,4861,22,1
1285,5,5119,12,1
1286,2,1659,21,0
1287,2,2018,123,0
1288,3,2147,15,0
1289,1,1635,107,0
1290,3,2086,135,0
1292,4,3897,68,1
1293,3,2837,13,1
1294,2,1563,71,0
1296,5,4619,3,1
1299,5,3914,6,1
1300,2,1570,67,0
1302,1,338,161,0
1303,1,641,91,0
1304,1,271,130,0
1305,4,4649,16,1
1306,2,2215,106,0
1307,6,2718,55,1
1308,2,1928,7,0
1310,2,1424,69,0
1311,2,1514,107,0
1313,3,2399,76,0
1314,4,3452,53,1
1315,1,770,29,0
1318,4,3780,23,1
1319,2,3000,131,0
1320,1,1138,77,0
1323,3,3871,51,1
1324,2,2201,106,0
1326,2,1270,69,0
1328,3,3344,49,1
1329,2,1905,10,0
1330,4,3440,2,1
1331,4,4315,60,1
1332,2,1764,8,0
1333,2,2480,51,0
1334,2,1879,46,0
1335,3,2171,37,0
1339,1,1855,20,0
1340,2,1979,8,0
1341,3,2601,77,1
1342,3,2284,13,0
1344,4,2670,55,1
1346,4,3496,17,1
1352,3,1706,115,0
1353,6,6631,14,1
1355,2,1423,13,0
1356,2,2186,6,0
1358,3,2729,97,1
1359,1,565,22,0
1360,1,1440,78,0
1362,3,2418,39,1
1364,1,765,160,0
1367,2,1771,60,0
1368,2,2635,4,1
1369,2,2781,120,1
1371,4,5338,23,1
1372,3,3123,25,1
1373,1,1122,2,0
1374,4,3691,19,1
1377,2,966,24,0
1379,5,4153,3,1
1381,2,2136,17,0
1383,3,2764,65,1
1384,3,3326,40,1
1385,1,937,19,0
1386,2,1243,100,0
1387,3,3392,33,1
1388,3,3105,19,1
1390,2,2325,68,0
1392,3,3165,5,1
1393,3,3695,59,1
1394,3,2339,27,1
1395,2,2149,40,0
1396,3,2313,28,0
1397,4,3311,32,1
1399,4,2752,15,1
1400,3,3910,63,1
1403,2,1941,122,0
1405,2,1410,137,0
1406,2,2335,17,0
1407,3,2790,45,0
1408,1,427,31,0
1410,2,2279,40,0
1411,5,4416,100,1
1412,2,1340,2,0
1415,2,2212,106,0
1416,3,3823,34,1
1419,4,3045,19,1
1420,5,3945,89,1
1421,2,1514,45,0
1422,1,1020,44,0
1423,3,2057,45,0
1424,2,1944,85,0
1425,2,1516,86,0
1426,1,748,33,0
1427,1,239,167,0
1428,1,400,58,0
1431,1,1477,126,0
1432,1,665,21,0
1433,3,2428,11,1
1434,2,564,89,0
1435,3,3045,21,1
1438,4,3454,33,1
1439,3,4133,81,1
1443,1,337,47,0
1444,5,3965,10,1
1448,2,1613,72,0
1449,1,1117,114,0
1450,2,2024,119,0
1451,4,4356,40,1
1452,4,2437,44,0
1453,2,1334,58,0
1454,2,2504,79,0
1455,4,4111,13,1
1456,1,661,119,0
1458,2,910,32,0
1459,3,2619,6,1
1461,31,33756,4,1
1462,2,2122,105,0
1463,2,1609,147,0
1464,3,3379,33,1
1466,2,903,64,0
1467,2,824,68,0
1469,3,2769,80,1
1470,3,2874,97,0
1471,1,524,140,0
1472,3,2102,14,1
1473,2,1414,72,0
1475,6,7465,55,1
1476,3,2765,122,0
1477,1,469,107,0
1478,1,1785,12,0
1479,3,3852,59,1
1481,3,2532,56,1
1482,1,1510,2,0
1483,2,2461,29,0
1484,2,2503,25,0
1485,1,1016,65,0
1486,3,2333,57,0
1487,3,4325,48,1
1489,2,2265,0,0
1491,2,2413,154,0
1492,1,547,195,0
1493,4,4322,25,1
1495,2,1331,53,0
1496,1,704,44,0
1497,5,4413,93,1
1499,2,2601,10,1
1500,2,1783,157,0
1501,5,5329,62,1
1502,3,1350,8,0
1503,1,1369,130,0
1506,3,1443,114,0
1509,2,1547,79,0
1510,19,16044,10,1
1511,7,7762,5,1
1512,1,689,85,0
1515,2,2730,111,0
1517,3,3115,26,1
1518,4,3274,68,1
1522,1,1224,105,0
1523,3,2595,177,0
1524,4,2477,27,1
1525,2,2671,24,0
1526,3,3865,18,1
1527,2,1693,44,0
1528,1,976,15,0
1530,2,1831,13,0
1532,2,1601,73,0
1533,2,1148,79,0
1534,6,3924,48,1
1536,1,518,128,0
1537,5,2747,37,1
1538,1,1452,10,0
1539,2,1555,152,0
1541,2,2285,85,0
1545,3,3566,104,1
1546,2,1758,14,0
1550,1,780,18,0
1551,2,1276,44,0
1552,3,2779,70,1
1553,2,2833,197,0
1554,3,2918,42,1
1555,2,1881,83,0
1556,2,2518,27,1
1558,3,3404,7,1
1559,2,1695,44,0
1560,2,1251,67,0
1561,3,2969,43,1
1562,3,2461,68,0
1566,2,1626,15,0
1567,4,3062,4,1
1568,1,293,88,0
1570,3,4019,52,1
1571,3,1430,2,0
1572,2,3269,65,1
1573,4,3466,13,1
1574,1,1198,25,0
1575,1,704,43,0
1576,2,2569,40,1
1578,3,2209,17,1
1579,3,2427,68,0
1580,2,1649,95,0
1581,2,1214,95,0
1583,2,2346,2,1
1584,2,2507,7,1
1586,1,528,83,0
1587,1,1278,107,0
1588,1,1173,18,0
1589,4,2782,53,1
1590,4,3349,72,1
1591,3,3101,93,0
1593,2,2353,85,0
1594,5,3761,56,1
1595,1,624,53,0
1599,4,3501,58,1
1600,1,1384,91,0
1601,1,847,66,0
1603,3,2276,115,0
1605,2,1226,174,0
1607,1,417,75,0
1608,4,1717,10,1
1610,4,2808,35,1
1611,3,4203,30,1
1612,2,2227,10,0
1615,4,3887,0,1
1616,2,1298,63,0
1617,4,4600,0,1
1618,2,1747,64,0
1619,2,1686,134,0
1620,3,2221,65,0
1621,1,638,66,0
1622,1,515,2,0
1624,2,1893,19,0
1626,1,1834,35,0
1633,1,1480,106,0
1636,2,747,24,0
1638,3,3552,79,1
1641,3,3029,10,1
1642,3,3205,102,1
1643,2,1910,10,1
1644,2,994,6,0
1645,2,615,15,0
1646,4,5049,58,1
1652,2,978,38,0
1653,3,1745,18,1
1654,2,1894,146,0
1657,1,420,211,0
1658,3,2073,64,0
1659,3,4045,80,1
1660,2,2798,36,1
1661,1,1303,58,0
1663,4,3714,50,1
1664,3,2180,43,0
